ID,Action,Sequence
0,walking,3937
1,jumping,4058
2,squatting,3985
3,stretching,1918
4,jumping jack,2995
5,boxing,3119
6,left upper limb extension,347
7,right upper limb extension,352
8,both upper limb extension,350
9,left front lunge,926
10,right front lunge,935
11,left side lunge,780
12,right side lunge,798
13,left limb extension,796
14,right limb extension,816
15,Chest expansion (horizontal),357
16,Chest expansion (vertical),363
17,Twist (left),598
18,Twist (right),614
19,Mark time,984
20,Limb extension (both),445
21,Raising hand (left),576
22,Raising hand (right),575
23,Waving hand (left),814
24,Waving hand (right),803
25,Picking up things,507
26,Throwing (toward left),437
27,Throwing (toward right),451
28,Kicking (toward left),512
29,Kicking (toward right),516
30,Body extension (left),627
31,Body extension (right),628
32,Bowing,509
